case,k,rank_source,point_id,num_observation,noise_std,rel_l2,reliability_raw_recal,training_stability_recal,structural_stability_recal,set_relation
poisson,20,rel_l2_topk,obs64_noise150,64,0.15,0.1171570718288421,0.5816696949522813,0.8179066715540484,0.5,overlap
poisson,20,rel_l2_topk,obs128_noise200,128,0.2,0.1167621314525604,0.5232825021462262,0.5109598637802039,0.4050964174681318,overlap
poisson,20,rel_l2_topk,obs32_noise200,32,0.2,0.1162043735384941,0.7500415859250769,0.8286655683373341,0.9208800373008444,overlap
poisson,20,rel_l2_topk,obs128_noise150,128,0.15,0.1160626485943794,0.6443234757880756,0.7942045415700031,0.4524838350394634,overlap
poisson,20,rel_l2_topk,obs64_noise100,64,0.1,0.1158452481031417,0.6730096676234667,0.856971596364042,0.5421945261152749,overlap
poisson,20,rel_l2_topk,obs256_noise200,256,0.2,0.1154211461544036,0.5309708220724823,0.3100614340019314,0.4883989965997328,overlap
poisson,20,rel_l2_topk,obs128_noise100,128,0.1,0.1154077798128128,0.7130206798111134,0.875599094407976,0.5,overlap
poisson,20,rel_l2_topk,obs8_noise000,8,0.0,0.1150391474366188,0.6802250358463515,0.5314677819464934,0.7787889564638538,overlap
poisson,20,rel_l2_topk,obs256_noise150,256,0.15,0.1149826571345329,0.6311583093825981,0.601740081858412,0.505863656254082,overlap
poisson,20,rel_l2_topk,obs32_noise150,32,0.15,0.1149717420339584,0.8636331240919213,0.9583194599679524,0.9051016238858398,rel_only
poisson,20,rel_l2_topk,obs128_noise050,128,0.05,0.1148025393486023,0.7558295915638162,0.8903778957602126,0.5460320959064546,rel_only
poisson,20,rel_l2_topk,obs64_noise050,64,0.05,0.1147088706493377,0.7383328491956277,0.8599288737826805,0.5780821240909594,overlap
poisson,20,rel_l2_topk,obs256_noise100,256,0.1,0.1145879551768302,0.6898114100698123,0.756824092687581,0.51982713152338,overlap
poisson,20,rel_l2_topk,obs128_noise000,128,0.0,0.1142358854413032,0.7859799130692828,0.8873924818344421,0.5963459925230251,rel_only
poisson,20,rel_l2_topk,obs256_noise050,256,0.05,0.1142033189535141,0.7185907307920978,0.8033363294330761,0.5353738830302772,overlap
poisson,20,rel_l2_topk,obs8_noise050,8,0.05,0.1140516549348831,0.7384418027896477,0.5199405419291646,0.898246081563974,overlap
poisson,20,rel_l2_topk,obs32_noise100,32,0.1,0.1138918027281761,0.9112314325005136,0.9791348409886708,0.8859605539338542,rel_only
poisson,20,rel_l2_topk,obs256_noise000,256,0.0,0.1138522550463676,0.7308873030620942,0.8059168165559764,0.5477634284104973,overlap
poisson,20,rel_l2_topk,obs64_noise000,64,0.0,0.1137404814362526,0.7665333498190308,0.8479033410932346,0.6135186862218363,rel_only
poisson,20,R_topk,obs64_noise200,64,0.2,0.1186216175556182,0.4916016659624109,0.6624908244282242,0.4614000059313956,overlap
poisson,20,R_topk,obs128_noise200,128,0.2,0.1167621314525604,0.5232825021462262,0.5109598637802039,0.4050964174681318,overlap
poisson,20,R_topk,obs256_noise200,256,0.2,0.1154211461544036,0.5309708220724823,0.3100614340019314,0.4883989965997328,overlap
poisson,20,R_topk,obs16_noise200,16,0.2,0.1131214424967765,0.5596921184800474,0.1788519493127136,0.991681915533265,R_only
poisson,20,R_topk,obs64_noise150,64,0.15,0.1171570718288421,0.5816696949522813,0.8179066715540484,0.5,overlap
poisson,20,R_topk,obs256_noise150,256,0.15,0.1149826571345329,0.6311583093825981,0.601740081858412,0.505863656254082,overlap
poisson,20,R_topk,obs8_noise200,8,0.2,0.1129124462604522,0.6399920029045301,0.4110049917830914,0.9865850899132412,R_only
poisson,20,R_topk,obs128_noise150,128,0.15,0.1160626485943794,0.6443234757880756,0.7942045415700031,0.4524838350394634,overlap
poisson,20,R_topk,obs64_noise100,64,0.1,0.1158452481031417,0.6730096676234667,0.856971596364042,0.5421945261152749,overlap
poisson,20,R_topk,obs8_noise000,8,0.0,0.1150391474366188,0.6802250358463515,0.5314677819464934,0.7787889564638538,overlap
poisson,20,R_topk,obs16_noise150,16,0.15,0.1128442138433456,0.6870792919993799,0.5138274840183333,0.9796712542841064,R_only
poisson,20,R_topk,obs256_noise100,256,0.1,0.1145879551768302,0.6898114100698123,0.756824092687581,0.51982713152338,overlap
poisson,20,R_topk,obs8_noise150,8,0.15,0.1131840497255325,0.6989734285332354,0.4889869918792336,0.9761420421372836,R_only
poisson,20,R_topk,obs128_noise100,128,0.1,0.1154077798128128,0.7130206798111134,0.875599094407976,0.5,overlap
poisson,20,R_topk,obs256_noise050,256,0.05,0.1142033189535141,0.7185907307920978,0.8033363294330761,0.5353738830302772,overlap
poisson,20,R_topk,obs256_noise000,256,0.0,0.1138522550463676,0.7308873030620942,0.8059168165559764,0.5477634284104973,overlap
poisson,20,R_topk,obs64_noise050,64,0.05,0.1147088706493377,0.7383328491956277,0.8599288737826805,0.5780821240909594,overlap
poisson,20,R_topk,obs8_noise050,8,0.05,0.1140516549348831,0.7384418027896477,0.5199405419291646,0.898246081563974,overlap
poisson,20,R_topk,obs8_noise100,8,0.1,0.1134954467415809,0.7469223517092134,0.5185143173071481,0.953526892962188,R_only
poisson,20,R_topk,obs32_noise200,32,0.2,0.1162043735384941,0.7500415859250769,0.8286655683373341,0.9208800373008444,overlap
poisson,30,rel_l2_topk,obs64_noise200,64,0.2,0.1186216175556182,0.4916016659624109,0.6624908244282242,0.4614000059313956,overlap
poisson,30,rel_l2_topk,obs64_noise150,64,0.15,0.1171570718288421,0.5816696949522813,0.8179066715540484,0.5,overlap
poisson,30,rel_l2_topk,obs128_noise200,128,0.2,0.1167621314525604,0.5232825021462262,0.5109598637802039,0.4050964174681318,overlap
poisson,30,rel_l2_topk,obs32_noise200,32,0.2,0.1162043735384941,0.7500415859250769,0.8286655683373341,0.9208800373008444,overlap
poisson,30,rel_l2_topk,obs128_noise150,128,0.15,0.1160626485943794,0.6443234757880756,0.7942045415700031,0.4524838350394634,overlap
poisson,30,rel_l2_topk,obs64_noise100,64,0.1,0.1158452481031417,0.6730096676234667,0.856971596364042,0.5421945261152749,overlap
poisson,30,rel_l2_topk,obs256_noise200,256,0.2,0.1154211461544036,0.5309708220724823,0.3100614340019314,0.4883989965997328,overlap
poisson,30,rel_l2_topk,obs128_noise100,128,0.1,0.1154077798128128,0.7130206798111134,0.875599094407976,0.5,overlap
